rateLimitingCodons,antiShineDelgarno,ttDimerCount,otherPyrDimerCount,weightedPyrDimerCount,methylationSites,repeatRuns,deaminationSites,alkylationSites,oxidationSites,miscSites,hairpinSites,insertionSequences
BBa_K339001,171199,726931,1240308,3022255,1436240.3232000058,85030,163363,1092904,2046912,1207214,392311,128536,574
BBa_K1172401,24,335,813,1586,848.3683,33,77,573,1048,548,220,48,0
BBa_K654043,76,175,311,679,361.60679999999996,16,45,201,485,233,81,15,0
BBa_K741009,59,86,227,374,225.59900000000002,14,25,79,266,119,42,6,0
BBa_K346007,22,378,265,1186,388.44469999999995,13,49,464,810,665,178,74,0
BBa_K243000,0,48,92,203,105.06459999999998,7,10,61,143,80,27,6,0
BBa_K538002,10,105,371,586,374.05819999999994,11,32,198,435,122,86,16,0
BBa_J58105,4,73,128,302,144.204,8,9,160,216,111,46,14,0
BBa_K1080001,2,526,275,1709,528.6775,54,21,691,1090,755,259,105,0
BBa_K218019,7,103,221,424,236.94759999999997,4,15,190,298,138,63,13,0
BBa_K243001,0,55,87,210,106.44739999999999,7,7,60,151,75,31,7,0
BBa_K218015,7,104,221,426,237.63759999999996,4,15,188,300,138,63,12,0
BBa_K415006,46,179,323,715,357.95029999999997,22,46,205,487,277,67,27,0
BBa_K1088018,8,84,124,378,156.7999,8,11,204,251,180,64,26,1
BBa_K1150000,74,432,441,1864,697.5849999999999,71,55,544,1272,744,215,67,0
BBa_K343001,38,192,199,713,284.89179999999993,22,11,254,470,317,97,41,0
BBa_K554007,0,141,260,805,357.95509999999996,27,17,291,516,276,145,24,0
BBa_K1129001,9,170,117,694,202.3591,21,13,452,418,365,94,74,0
BBa_K316006,16,159,252,629,299.56129999999996,19,30,180,428,266,74,31,0
BBa_K1080004,2,82,90,328,133.918,11,2,117,231,86,58,15,0
BBa_K1080011,4,122,133,444,189.82760000000002,15,3,160,312,141,86,18,0
BBa_K208000,4,51,140,235,143.1215,6,13,47,160,77,26,3,0
BBa_K541515,8,30,128,138,110.068,6,17,50,102,44,25,5,0
BBa_K874000,13,89,113,377,156.44299999999998,12,17,137,255,177,34,17,0
BBa_K389004,13,171,150,659,227.71119999999996,23,19,294,424,311,69,41,0
BBa_K1088008,30,239,523,941,544.2816999999999,15,64,333,693,347,110,30,0
BBa_I718005,5,65,163,304,175.44930000000002,5,22,98,213,87,45,5,0
BBa_K177026,20,89,380,447,346.0911,8,52,115,326,111,51,3,0
BBa_K511302,37,394,199,1311,373.3365,34,52,389,818,675,162,60,0
BBa_K352001,0,57,72,250,104.16909999999999,7,7,101,156,91,44,9,0
BBa_K200003,48,56,304,314,257.03970000000004,5,48,79,206,82,48,4,0
BBa_K258006,0,133,134,568,204.10159999999993,21,10,220,352,249,93,24,0
BBa_K365004,2,82,151,377,182.789,11,13,185,270,129,66,15,0
BBa_I732108,8,83,126,377,157.37589999999997,8,11,205,249,180,64,26,1
BBa_K676006,11,74,169,286,179.71699999999998,8,16,61,214,69,39,2,0
BBa_I732113,8,83,126,375,156.68589999999995,8,11,205,248,180,65,26,1
BBa_I732111,8,83,126,375,156.11099999999996,8,11,204,247,181,66,26,1
BBa_K177016,16,128,110,551,177.97140000000002,11,34,128,329,281,67,23,0
BBa_I732109,8,83,125,376,155.634,8,11,204,247,181,65,26,1
BBa_M45116,4,52,142,232,144.54639999999998,5,14,44,159,76,26,3,0
BBa_K554008,0,115,223,557,272.5867999999999,18,24,184,364,175,92,18,0
BBa_I732114,8,83,126,375,156.11099999999996,8,11,206,248,181,64,26,1
BBa_K258004,0,43,85,158,85.88189999999999,5,17,51,104,69,23,6,0
BBa_K541525,9,30,124,142,109.6989,6,14,47,103,43,28,4,0
BBa_K1051500,28,83,160,334,178.5456,12,22,50,251,122,24,6,0
BBa_K1051502,28,83,159,333,177.3786,12,22,50,250,122,23,6,0
BBa_I732103,8,83,125,378,157.3809,8,11,204,251,180,64,26,1
BBa_I757011,0,44,62,196,80.89639999999999,8,6,94,128,99,37,20,1
BBa_I732104,8,83,125,378,157.38089999999997,8,11,204,251,180,64,26,1
BBa_K542005,94,177,130,751,235.42170000000002,28,17,315,471,357,73,28,0
BBa_K143033,8,83,126,377,157.85789999999997,8,12,203,250,180,64,26,1
BBa_K1123017,0,75,48,304,91.45729999999999,9,7,128,192,155,31,13,0
BBa_K1051200,34,115,215,444,248.26479999999995,16,25,56,333,107,61,10,0
BBa_I732102,8,83,126,377,157.9508,8,11,202,251,178,64,26,1
BBa_K299810,76,178,405,801,417.8591,10,62,284,508,358,133,30,0
BBa_K258001,1,67,59,200,85.09759999999997,8,5,51,142,77,34,4,0
BBa_K864401,4,76,120,240,124.7861,6,19,70,171,111,28,8,0
BBa_K364309,10,66,46,345,94.25769999999999,20,7,109,193,177,55,15,0
BBa_K511000,32,181,154,542,194.28959999999998,16,44,217,365,308,74,35,0
BBa_K538001,7,142,294,517,302.0412,16,23,222,396,169,94,13,0
BBa_J45004,20,98,237,378,237.46359999999999,11,29,44,286,100,46,3,0
BBa_K364310,14,57,46,314,100.4233,17,3,108,203,121,36,14,0
BBa_I746916,0,62,109,230,120.65909999999998,7,10,95,161,76,35,7,0
BBa_K777109,0,102,217,491,242.1611,11,18,184,309,165,78,16,0
BBa_J176005,3,102,47,333,95.01919999999998,4,10,118,218,182,27,21,0
BBa_M10088,13,162,204,561,250.0713,7,27,168,405,249,87,21,0
BBa_K364308,12,72,48,339,96.18919999999999,16,9,115,202,164,40,12,0
BBa_K590052,0,133,254,580,284.6167,20,25,316,398,249,102,44,0
BBa_J33207,5,45,84,214,90.08010000000002,7,11,100,126,114,28,14,0
BBa_K566012,0,61,139,230,133.47239999999996,1,31,92,166,83,41,11,0
BBa_K1088000,13,159,331,636,355.8687,9,45,268,477,239,73,21,0
BBa_I746917,9,49,149,226,146.91500000000002,4,15,35,160,71,28,3,0
BBa_K592012,2,62,118,228,123.0089,4,17,72,161,91,26,12,0
BBa_K1122666,4,31,89,150,95.85199999999999,3,6,46,113,32,23,3,0
BBa_K559011,53,80,373,342,318.78619999999995,2,79,51,280,65,53,1,0
BBa_K592010,7,59,124,254,138.82139999999998,4,11,54,179,89,22,5,0
BBa_K300002,0,38,67,235,88.65310000000001,5,5,125,151,100,26,17,0
BBa_M36655,17,77,305,390,273.133,7,45,106,234,144,66,11,0
BBa_K191006,11,61,111,247,130.9699,5,14,90,183,70,42,12,0
BBa_K1088011,21,180,362,708,389.64919999999995,11,47,301,525,270,79,27,0
BBa_M13003,7,135,218,452,228.09959999999995,3,27,120,284,187,77,4,0
BBa_K1072010,19,50,234,283,210.45699999999997,10,38,56,183,82,57,4,0
BBa_K902022,5,58,249,316,233.63209999999995,6,64,88,221,94,41,10,0
BBa_K208001,0,38,67,237,89.3431,5,5,125,152,100,27,17,0
BBa_K209400,18,122,97,610,172.06019999999998,19,13,226,336,306,98,41,0
BBa_Z0106,14,97,136,371,177.03269999999998,2,2,159,274,116,45,18,0
BBa_K398000,0,83,203,458,234.61939999999996,17,31,147,268,162,88,11,0
BBa_K300003,0,38,67,235,88.65310000000001,5,5,125,151,100,26,17,0
BBa_J36843,2,77,34,352,87.72959999999999,9,2,199,209,190,51,53,0
BBa_Z0107,7,234,331,994,435.7442,4,10,376,669,303,146,33,0
BBa_K511205,15,140,175,555,230.74569999999994,15,14,228,381,235,87,33,1
BBa_K572009,23,194,197,743,288.7656999999999,21,25,146,497,286,77,23,0
BBa_K1033919,0,57,103,225,115.1492,3,8,87,159,94,27,8,0
BBa_K136046,10,136,145,487,193.28760000000003,14,11,276,339,220,69,33,0
BBa_K1051203,11,29,99,173,99.0428,4,9,41,108,73,11,3,0
BBa_K209402,1,90,59,370,112.9938,15,8,150,231,186,40,15,0
BBa_K185049,6,216,319,831,405.8153999999999,23,52,389,596,297,122,34,0
BBa_K398004,1,106,106,454,170.83719999999997,10,2,186,254,167,123,21,0
BBa_J18930,0,60,112,229,117.0661,8,12,100,154,105,35,7,0
BBa_K590031,0,43,124,239,130.92,6,12,132,161,86,43,13,0
BBa_K314200,4,33,29,195,53.0888,4,8,118,103,120,10,20,0
BBa_K179001,8,88,179,345,193.84139999999996,6,20,160,266,116,40,10,0
BBa_K180009,3,101,46,339,95.45129999999999,4,10,123,222,183,30,24,0
BBa_K243003,3,68,38,225,64.4402,8,8,89,145,128,32,15,0
BBa_K133046,5,87,155,302,162.39389999999997,11,17,119,223,117,34,10,0
BBa_K177038,104,338,627,1380,692.8032000000001,40,69,453,945,532,174,52,2
BBa_J58104,18,126,190,498,230.58819999999997,20,20,267,368,215,66,25,0
BBa_K123001,10,90,133,520,206.24599999999998,20,19,252,319,231,54,32,0
BBa_K590032,0,88,140,367,166.3804,14,13,191,243,165,74,31,0
BBa_K624033,5,56,115,221,114.3998,2,21,110,153,108,32,13,0
BBa_K196004,1,126,160,633,233.0818,27,19,336,379,269,121,46,0
BBa_R0040,3,5,1,26,8.6974,0,0,1,19,6,2,0,0
BBa_K592000,24,209,325,828,361.4355999999999,21,57,331,541,468,111,38,0
BBa_B0030,0,4,5,7,4.9861,0,0,0,7,1,0,0,0
BBa_B0034,0,4,4,7,4.4051,0,0,0,7,1,0,0,0
BBa_E0030,0,73,52,304,93.7813,9,7,130,190,154,32,13,0
BBa_J63006,16,28,121,174,112.67199999999997,4,22,52,104,59,16,8,0
BBa_J61100,0,5,2,7,2.5753,0,1,0,7,5,0,0,0
BBa_E0040,9,52,152,225,147.40419999999997,4,15,32,161,74,28,3,0
BBa_J176012,0,2,0,8,0.7565999999999999,0,0,4,3,7,1,0,0
BBa_K1051003,9,52,150,225,146.24219999999997,4,15,32,161,74,28,3,0
BBa_F2622,37,58,250,289,225.25490000000002,13,33,69,208,68,32,2,0
BBa_K1051008,0,0,10,1,6.395999999999999,0,4,0,1,0,0,0,0
BBa_J61101,1,2,2,6,2.5641999999999996,1,0,0,5,2,0,0,0
BBa_K823003,6,16,66,51,52.564299999999996,0,11,12,40,15,11,1,0
BBa_K143021,0,5,3,4,2.4552,0,0,0,4,2,1,0,0
BBa_K143053,2,8,39,19,28.6014,1,6,4,16,5,6,0,0
BBa_K1051004,13,83,139,266,144.37099999999998,4,15,48,209,92,23,2,0
BBa_K082003,10,53,160,237,154.0784,4,17,40,167,76,30,3,0
BBa_K629003,4,62,77,225,100.71099999999998,9,8,105,167,93,34,12,1
BBa_K592100,0,73,100,246,114.9399,9,6,92,173,104,40,11,0
BBa_I712019,24,162,278,608,324.0971,12,43,185,436,213,73,13,0
BBa_J176008,0,2,6,7,4.4173,0,2,3,5,4,0,0,0
BBa_K592009,4,77,97,247,114.4157,6,5,48,175,93,27,6,0
BBa_J52008,6,117,91,428,158.77329999999995,17,9,129,290,162,41,10,0
BBa_K190028,3,67,141,286,142.99089999999998,6,18,122,181,133,62,14,0
BBa_K1085002,0,30,13,94,19.821099999999998,15,0,47,69,54,1,4,0
BBa_K143001,3,38,100,155,102.03729999999999,3,9,52,119,44,22,2,0
BBa_B0025,4,11,23,50,25.4564,2,2,14,34,17,4,1,0
BBa_I732006,0,12,32,85,34.41289999999999,3,4,43,48,48,11,6,0
BBa_I712015,0,5,3,20,5.4898,1,1,4,11,10,0,0,0
BBa_I712011,7,18,17,60,24.0848,4,4,10,45,24,7,2,0
BBa_I712026,0,1,2,8,2.5864,0,0,3,7,5,0,0,0
BBa_K737017,14,43,97,190,102.54079999999999,5,12,54,139,76,11,6,0
BBa_K737066,9,52,152,225,147.40419999999997,4,15,31,161,74,28,3,0
BBa_K648011,6,92,86,368,133.68189999999998,15,11,143,234,177,46,27,0
BBa_K737016,5,13,36,86,44.0184,3,2,27,60,27,10,3,0
BBa_J61107,0,1,3,7,3.917,0,0,0,6,0,0,0,0
BBa_J61102,0,0,2,5,3.0351,1,0,1,4,1,0,0,0
BBa_K554009,13,98,212,536,254.2789,14,16,212,353,187,67,22,1
BBa_J45014,26,110,350,504,345.8555,13,55,94,368,148,63,8,0
BBa_J01060,8,13,9,51,19.818899999999996,2,0,1,38,12,4,0,0
BBa_J31001,19,44,101,200,105.25450000000001,4,18,86,142,77,25,5,0
BBa_J33202,0,16,32,92,36.49399999999999,3,4,44,54,49,11,6,0
BBa_K531001,0,11,16,145,44.79500000000001,5,0,98,86,53,23,10,0
BBa_K1172303,88,316,572,1172,599.5347,16,50,518,813,471,184,47,1
BBa_K538000,0,22,60,84,57.661500000000004,1,9,34,66,28,15,2,0
BBa_J61117,0,1,2,4,2.542,0,0,0,4,0,0,0,0
BBa_K809605,4,18,52,97,55.439899999999994,1,8,57,68,31,8,6,0
BBa_K1172201,2,96,133,364,158.20329999999998,8,14,208,247,149,71,21,0
BBa_K1150010,2,0,7,7,6.1481,0,2,1,5,1,2,0,0
BBa_E0032,1,75,60,317,101.04150000000001,9,8,138,197,156,34,13,0
BBa_K118003,15,125,204,513,235.4622,13,24,248,347,213,71,24,0
BBa_C0179,9,78,73,301,108.54480000000001,5,4,133,201,132,34,22,0
BBa_K165002,0,2,0,8,0.7565999999999999,0,0,4,3,7,1,0,0
BBa_J95001,6,117,91,428,158.77329999999995,17,9,129,290,162,41,10,0
BBa_E0034,1,75,59,316,100.3565,9,8,139,195,156,37,13,0
BBa_J31005,6,47,120,207,119.85560000000001,2,20,68,142,91,24,8,0
BBa_K592011,5,64,121,232,124.3143,3,20,73,160,100,30,11,0
BBa_J06504,2,103,49,334,96.19229999999999,4,10,119,219,183,28,22,0
BBa_J95000,24,162,278,608,324.0971,12,43,185,436,213,73,13,0
BBa_K844004,0,55,16,99,28.407999999999998,18,0,8,82,40,10,0,0
BBa_K1150016,0,0,2,8,3.1613,0,0,3,4,4,0,0,0
BBa_K208006,3,14,37,61,37.4406,1,3,14,46,18,4,1,0
BBa_K105012,0,5,9,7,7.124299999999999,0,2,0,6,3,3,0,0
